run_id,model,text_cfg,audio_cfg,video_cfg,d_model,num_experts,tfe_dim,afe_dim,vfe_dim,best_epoch,best_dev_f1,test_acc,test_f1,elapsed_sec,text_backbone,audio_backbone,video_backbone,text_cfg_only,audio_cfg_only,video_cfg_only,text_backbone_label,audio_backbone_label,video_backbone_label,model_label
variant1_TFE-A_cfg1_AFE-B_cfg1_VFE-A_cfg1_d1024_e8,variant1,TFE-A_cfg1,AFE-B_cfg1,VFE-A_cfg1,1024,8,768,1024,2048,6,0.5528,0.6077,0.5816,1480.7,TFE-A,AFE-B,VFE-A,cfg1,cfg1,cfg1,RoBERTa-Base,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-A_cfg1_AFE-B_cfg1_VFE-A_cfg1_d256_e16,variant1,TFE-A_cfg1,AFE-B_cfg1,VFE-A_cfg1,256,16,768,1024,2048,7,0.5584,0.6,0.5757,693.2,TFE-A,AFE-B,VFE-A,cfg1,cfg1,cfg1,RoBERTa-Base,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-A_cfg1_AFE-B_cfg1_VFE-A_cfg1_d256_e8,variant1,TFE-A_cfg1,AFE-B_cfg1,VFE-A_cfg1,256,8,768,1024,2048,4,0.5507,0.6241,0.5882,458.9,TFE-A,AFE-B,VFE-A,cfg1,cfg1,cfg1,RoBERTa-Base,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-A_cfg1_AFE-B_cfg1_VFE-A_cfg1_d512_e16,variant1,TFE-A_cfg1,AFE-B_cfg1,VFE-A_cfg1,512,16,768,1024,2048,4,0.5582,0.6088,0.5882,812.9,TFE-A,AFE-B,VFE-A,cfg1,cfg1,cfg1,RoBERTa-Base,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-A_cfg1_AFE-B_cfg1_VFE-A_cfg1_d512_e8,variant1,TFE-A_cfg1,AFE-B_cfg1,VFE-A_cfg1,512,8,768,1024,2048,6,0.5704,0.6184,0.5949,774.8,TFE-A,AFE-B,VFE-A,cfg1,cfg1,cfg1,RoBERTa-Base,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-A_cfg3_AFE-B_cfg3_VFE-A_cfg3_d1024_e8,variant1,TFE-A_cfg3,AFE-B_cfg3,VFE-A_cfg3,1024,8,768,1024,2048,4,0.5039,0.5307,0.5104,1342.0,TFE-A,AFE-B,VFE-A,cfg3,cfg3,cfg3,RoBERTa-Base,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-A_cfg3_AFE-B_cfg3_VFE-A_cfg3_d256_e16,variant1,TFE-A_cfg3,AFE-B_cfg3,VFE-A_cfg3,256,16,768,1024,2048,6,0.4876,0.546,0.5155,678.6,TFE-A,AFE-B,VFE-A,cfg3,cfg3,cfg3,RoBERTa-Base,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-A_cfg3_AFE-B_cfg3_VFE-A_cfg3_d256_e8,variant1,TFE-A_cfg3,AFE-B_cfg3,VFE-A_cfg3,256,8,768,1024,2048,5,0.4919,0.5579,0.5165,504.8,TFE-A,AFE-B,VFE-A,cfg3,cfg3,cfg3,RoBERTa-Base,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-A_cfg3_AFE-B_cfg3_VFE-A_cfg3_d512_e16,variant1,TFE-A_cfg3,AFE-B_cfg3,VFE-A_cfg3,512,16,768,1024,2048,5,0.5059,0.5226,0.5147,877.8,TFE-A,AFE-B,VFE-A,cfg3,cfg3,cfg3,RoBERTa-Base,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-A_cfg3_AFE-B_cfg3_VFE-A_cfg3_d512_e8,variant1,TFE-A_cfg3,AFE-B_cfg3,VFE-A_cfg3,512,8,768,1024,2048,5,0.4921,0.5548,0.5245,740.4,TFE-A,AFE-B,VFE-A,cfg3,cfg3,cfg3,RoBERTa-Base,WavLM-Large,ResNet50,MoE Mamba Experts
variant1_TFE-B_cfg1_AFE-B_cfg1_VFE-A_cfg1_d1024_e8,variant1,TFE-B_cfg1,AFE-B_cfg1,VFE-A_cfg1,1024,8,1024,1024,2048,11,0.5263,0.5552,0.5348,2008.5,TFE-B,AFE-B,VFE-A,cfg1,cfg1,cfg1,RoBERTa-Large,WavLM-Large,ResNet50,MoE Mamba Experts
